,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DGKA,298.1305198687291,4.060296238491229,0.37396813644881943,10.857332063227565,1.840478317053201e-27,4.384521299852649e-25
C9orf24,25.288749706840942,-3.5356928155243814,0.32573041378828194,-10.854659761131513,1.8951123834019797e-27,4.447291343914825e-25
CD300E,22.765205027593623,4.0323894204685145,0.37264537568460615,10.820983389530602,2.7382339359568487e-27,6.331360613977872e-25
IFI44,102.50344635781576,2.8364053176688153,0.26288460849594253,10.789545017096708,3.856942598052287e-27,8.788798328866104e-25
EZR,320.97080095015554,-1.9089138380671398,0.1776020604708948,-10.748264029177578,6.038742176809195e-27,1.3563877606567283e-24
LGALS3,68.14372932507798,-2.3762150562461644,0.22142652457011006,-10.73139300207815,7.249499530816654e-27,1.5963600973643293e-24
RRAD,22.095522116486343,-3.909899570081713,0.36436837151166096,-10.730622841550845,7.310177892910494e-27,1.5963600973643293e-24
RPS28,27.388577528681505,-3.761187310999901,0.3507411023684077,-10.723543050991681,7.892098739775999e-27,1.6998283354177813e-24
TPT1,716.0339396642853,-1.9243009331468741,0.1800862355617033,-10.68544148943325,1.1908111376517904e-26,2.5301518266620404e-24
TUBB4B,136.72096871153184,-2.7174680826459787,0.25554532133072017,-10.633996617488847,2.070452664839443e-26,4.340496966569408e-24
RPS21,13.557068848362958,-4.812648492392245,0.4532627649721937,-10.617789203769002,2.4632580560362605e-26,5.0960271598760684e-24
FAU,30.70026751184467,-3.2939715494806125,0.31041211037195193,-10.61160772862117,2.631810008966517e-26,5.374019320906565e-24
NACA,131.05999225564204,-2.03041146253562,0.19138468252198343,-10.609059386465772,2.70458010980933e-26,5.451809367504115e-24
CAPS,70.77194351825868,-2.959281743272515,0.28062413704784045,-10.545357125741539,5.336970756444746e-26,1.062192293716212e-23
RPS15,73.57463646315638,-3.26242609682163,0.30959555007975825,-10.537703452072103,5.789541989971633e-26,1.1378621088540498e-23
RPL15,236.75913115800088,-2.0830713765982667,0.199284741985077,-10.452738909405582,1.4235369901786787e-25,2.763243468713502e-23
CD163,51.45319717692867,2.891741183455249,0.2776559718580752,10.414835179318137,2.121647660513317e-25,4.068130020274498e-23
RPS29,37.9231576548659,-2.9942959987414426,0.2875703173066522,-10.41239592036357,2.176731836353624e-25,4.1234644172274734e-23
SBK1,29.536135487434642,2.7904591570905914,0.2682178307388168,10.403704889433188,2.3847673254081383e-25,4.4637734115943045e-23
RPL27A,92.80799806604637,-2.5683608776079714,0.24747831664553008,-10.378124889570444,3.11839768886395e-25,5.768301983765633e-23
UQCR11,12.728156908097922,-3.692518692999608,0.3562003504192479,-10.36640949020267,3.5252239655071113e-25,6.445011210426548e-23
SPINT2,19.8646448286337,-3.0627706975089013,0.29722404815172593,-10.304585771422602,6.718047007601529e-25,1.2141132540289522e-22
TSPAN7,8.418922788452043,-4.312981506404637,0.41982059428520896,-10.273391932446682,9.2880402283027e-25,1.6594983694273106e-22
RPL31,98.91393341808033,-2.4383889104398264,0.23755643995971618,-10.264461409058487,1.0188792764542652e-24,1.7999818947966753e-22
MTATP6P1,5070.900304272207,0.8399168360795611,0.08209569197119504,10.230948980541672,1.4410031383107192e-24,2.5174324826288264e-22
RPL30,166.64595727293985,-2.1154642000079718,0.20726016113932258,-10.206805728506277,1.848502434274469e-24,3.19384656858214e-22
ZMYND10,37.924750080105646,-3.154495505388775,0.30918935453712754,-10.202471265905059,1.9329056767655922e-24,3.303377821281022e-22
ROCK1P1,51.90508105456038,4.278378622501639,0.41984717617137085,10.19032368281385,2.190337104086763e-24,3.703082826618943e-22
AGR2,84.92955152356728,-1.979964419083787,0.19436256234721228,-10.186963966582969,2.2673462546811488e-24,3.7924984215267767e-22
RPS13,25.46994873612028,-2.5956956184582807,0.2548594893347055,-10.1848105606512,2.318109460733172e-24,3.836593163274491e-22
SAMD9,343.9014420062921,2.4795964802675394,0.2441312483723305,10.156817272673944,3.089990437404154e-24,5.060824963260991e-22
RPL8,136.55842171213956,-2.626950055444832,0.2591313909597461,-10.13752153189695,3.765314817264467e-24,6.103303595036002e-22
MT-ND6,4837.746949510697,1.23943665913662,0.12269980505303278,10.101374314335024,5.4473368306310846e-24,8.739640508980873e-22
HERC6,108.96932656879237,2.321136169482083,0.2300318199700509,10.09050039157315,6.085848577386305e-24,9.665434058812614e-22
